week_start,milk_cost_per_liter,holding_cost_per_kg,stockout_cost_per_kg,spoilage_cost_per_kg,spoilage_rate
2022-01-03,0.6313,0.1938,2.4381,0.5746,0.2
2022-01-10,0.6459,0.1937,2.4578,0.5722,0.2
2022-01-17,0.6305,0.1877,2.4322,0.5759,0.2
2022-01-24,0.6474,0.2057,2.4362,0.5567,0.2
2022-01-31,0.6476,0.1975,2.4718,0.5652,0.2
2022-02-07,0.6508,0.1909,2.4162,0.553,0.2
2022-02-14,0.6615,0.179,2.543,0.5352,0.2
2022-02-21,0.636,0.1935,2.4947,0.5531,0.2
2022-02-28,0.6538,0.1884,2.4794,0.5547,0.2
2022-03-07,0.67,0.1905,2.4816,0.5472,0.2
2022-03-14,0.6801,0.1822,2.4532,0.5441,0.2
2022-03-21,0.6464,0.1821,2.4807,0.5608,0.2
2022-03-28,0.6416,0.1739,2.4843,0.5296,0.2
2022-04-04,0.63,0.1913,2.4143,0.547,0.2
2022-04-11,0.6327,0.1827,2.4756,0.5452,0.2
2022-04-18,0.629,0.1751,2.4109,0.5307,0.2
2022-04-25,0.6036,0.1823,2.4952,0.5334,0.2
2022-05-02,0.6013,0.1693,2.4241,0.5469,0.2
2022-05-09,0.5953,0.1767,2.4835,0.5266,0.2
2022-05-16,0.6101,0.174,2.4214,0.5436,0.2
2022-05-23,0.601,0.1697,2.3755,0.5288,0.2
2022-05-30,0.6051,0.1697,2.3853,0.5506,0.2
2022-06-06,0.6013,0.1758,2.3731,0.5496,0.2
2022-06-13,0.6112,0.1636,2.4302,0.5189,0.2
2022-06-20,0.5964,0.1641,2.4218,0.5123,0.2
2022-06-27,0.6217,0.1608,2.3422,0.5299,0.2
2022-07-04,0.6216,0.1717,2.3805,0.5358,0.2
2022-07-11,0.6512,0.1624,2.3874,0.535,0.2
2022-07-18,0.655,0.1727,2.3148,0.548,0.2
2022-07-25,0.6503,0.1716,2.3461,0.546,0.2
2022-08-01,0.65,0.1639,2.3419,0.5641,0.2
2022-08-08,0.6687,0.1633,2.3217,0.5439,0.2
2022-08-15,0.6579,0.1685,2.3366,0.5568,0.2
2022-08-22,0.6539,0.1718,2.265,0.5718,0.2
2022-08-29,0.655,0.1714,2.2827,0.5582,0.2
2022-09-05,0.653,0.1722,2.2896,0.574,0.2
2022-09-12,0.6614,0.1766,2.3008,0.5694,0.2
2022-09-19,0.6496,0.1768,2.354,0.5796,0.2
2022-09-26,0.6361,0.1825,2.3298,0.5586,0.2
2022-10-03,0.6508,0.1899,2.3354,0.561,0.2
2022-10-10,0.609,0.1743,2.3542,0.5775,0.2
2022-10-17,0.6216,0.1811,2.3008,0.572,0.2
2022-10-24,0.6115,0.1873,2.3439,0.5655,0.2
2022-10-31,0.5954,0.1842,2.3247,0.564,0.2
2022-11-07,0.5956,0.1897,2.3978,0.5595,0.2
2022-11-14,0.6127,0.1889,2.3678,0.5564,0.2
2022-11-21,0.6028,0.1896,2.389,0.5563,0.2
2022-11-28,0.5911,0.1916,2.336,0.5626,0.2
2022-12-05,0.6105,0.1936,2.4023,0.5396,0.2
2022-12-12,0.5978,0.1841,2.3774,0.5549,0.2
2022-12-19,0.6268,0.1909,2.3522,0.5343,0.2
2022-12-26,0.6603,0.1889,2.4185,0.5359,0.2
2023-01-02,0.635,0.1913,2.4771,0.5456,0.2
2023-01-09,0.6273,0.1983,2.4903,0.5363,0.2
2023-01-16,0.6392,0.1938,2.4396,0.5485,0.2
2023-01-23,0.6557,0.1889,2.4533,0.5214,0.2
2023-01-30,0.6486,0.1946,2.4365,0.5425,0.2
2023-02-06,0.6462,0.1903,2.446,0.533,0.2
2023-02-13,0.6695,0.1973,2.3991,0.5273,0.2
2023-02-20,0.6565,0.1876,2.4003,0.5351,0.2
2023-02-27,0.6378,0.1904,2.4821,0.5153,0.2
2023-03-06,0.6718,0.1895,2.4722,0.5409,0.2
2023-03-13,0.647,0.1816,2.4848,0.5331,0.2
2023-03-20,0.6439,0.1932,2.4866,0.5444,0.2
2023-03-27,0.6311,0.1818,2.4648,0.5282,0.2
2023-04-03,0.6197,0.172,2.4253,0.5244,0.2
2023-04-10,0.632,0.1842,2.4585,0.559,0.2
2023-04-17,0.6355,0.1743,2.4455,0.5184,0.2
2023-04-24,0.6007,0.1769,2.4468,0.5494,0.2
2023-05-01,0.6208,0.1823,2.4326,0.5634,0.2
2023-05-08,0.6105,0.1762,2.4563,0.5349,0.2
2023-05-15,0.5939,0.174,2.4328,0.5633,0.2
2023-05-22,0.5987,0.1691,2.3975,0.5656,0.2
2023-05-29,0.6007,0.1667,2.4611,0.5655,0.2
2023-06-05,0.6049,0.1547,2.3969,0.5828,0.2
2023-06-12,0.6134,0.1649,2.4249,0.5744,0.2
2023-06-19,0.6251,0.1698,2.3448,0.5709,0.2
2023-06-26,0.6188,0.1672,2.3803,0.568,0.2
2023-07-03,0.6365,0.1608,2.3186,0.5808,0.2
2023-07-10,0.6258,0.1714,2.3048,0.5616,0.2
2023-07-17,0.6581,0.1638,2.3714,0.5892,0.2
2023-07-24,0.6389,0.1718,2.3458,0.5549,0.2
2023-07-31,0.6713,0.1707,2.3543,0.5629,0.2
2023-08-07,0.6577,0.1721,2.3782,0.5647,0.2
2023-08-14,0.6624,0.173,2.2948,0.5473,0.2
2023-08-21,0.664,0.167,2.291,0.5521,0.2
2023-08-28,0.6711,0.1753,2.2704,0.556,0.2
2023-09-04,0.6331,0.1766,2.2809,0.5468,0.2
2023-09-11,0.6495,0.173,2.3238,0.5512,0.2
2023-09-18,0.6493,0.1697,2.3078,0.5562,0.2
2023-09-25,0.6413,0.1753,2.3232,0.5372,0.2
2023-10-02,0.6276,0.1728,2.3805,0.5287,0.2
2023-10-09,0.6319,0.1842,2.2818,0.5283,0.2
2023-10-16,0.627,0.1817,2.3434,0.5404,0.2
2023-10-23,0.6172,0.1903,2.3962,0.5355,0.2
2023-10-30,0.5969,0.1861,2.3678,0.5211,0.2
2023-11-06,0.5855,0.191,2.3814,0.5177,0.2
2023-11-13,0.5779,0.1946,2.3786,0.5408,0.2
2023-11-20,0.5879,0.1919,2.3664,0.5257,0.2
2023-11-27,0.6002,0.1863,2.4106,0.5359,0.2
