week_start,fat_pct,protein_pct,somatic_cell_count,pasture_quality_index,milk_collected_liters,yield_rate,cheese_output_kg
2022-01-03,3.7966,3.269,171.12,61.56,11776.45,0.10551,1242.48
2022-01-10,3.7312,3.3229,206.76,51.43,11767.11,0.10092,1187.54
2022-01-17,3.682,3.388,195.36,51.56,11369.75,0.10071,1145.09
2022-01-24,3.8186,3.3744,187.2,58.79,11830.88,0.104,1230.47
2022-01-31,3.9232,3.3191,180.39,60.55,11773.12,0.10346,1217.99
2022-02-07,3.7785,3.326,207.73,63.66,11934.83,0.10405,1241.77
2022-02-14,3.8176,3.3966,193.67,62.48,11718.36,0.10341,1211.85
2022-02-21,3.7881,3.3212,187.25,77.94,11954.8,0.10864,1298.8
2022-02-28,3.7755,3.3357,171.57,77.85,11442.94,0.1099,1257.64
2022-03-07,3.7914,3.3959,211.21,66.7,11948.99,0.10672,1275.24
2022-03-14,3.7344,3.3925,200.8,76.73,11548.2,0.10565,1220.06
2022-03-21,3.761,3.4086,199.36,82.13,12289.61,0.10853,1333.74
2022-03-28,3.6994,3.3873,151.25,81.72,11598.01,0.10921,1266.57
2022-04-04,3.7293,3.3311,181.46,87.62,11878.54,0.10763,1278.45
2022-04-11,3.5357,3.4376,160.13,86.9,11827.87,0.10913,1290.72
2022-04-18,3.8341,3.2966,148.5,82.53,11908.89,0.1105,1315.88
2022-04-25,3.5924,3.3483,167.35,88.94,11658.45,0.10969,1278.82
2022-05-02,3.4625,3.2994,173.67,94.72,11923.35,0.10689,1274.51
2022-05-09,3.5872,3.3123,176.66,97.08,11825.15,0.10745,1270.58
2022-05-16,3.6016,3.252,145.32,77.83,11719.39,0.10643,1247.26
2022-05-23,3.6501,3.358,146.15,92.37,11599.08,0.11071,1284.16
2022-05-30,3.6985,3.313,176.9,84.19,11314.21,0.10872,1230.13
2022-06-06,3.6453,3.3241,176.36,91.07,11434.07,0.1074,1227.97
2022-06-13,3.552,3.3452,169.84,77.06,11327.15,0.10556,1195.65
2022-06-20,3.7447,3.2376,163.25,87.1,11827.62,0.10993,1300.26
2022-06-27,3.7083,3.2234,171.58,83.41,11559.75,0.10847,1253.94
2022-07-04,3.6966,3.2797,152.11,81.34,11275.24,0.10527,1186.96
2022-07-11,3.7063,3.2688,150.94,83.72,11505.57,0.10929,1257.44
2022-07-18,3.8177,3.1561,151.64,74.26,11364.79,0.10738,1220.31
2022-07-25,3.8213,3.1452,158.41,74.47,11325.42,0.10693,1211.02
2022-08-01,3.7326,3.2268,186.77,83.94,11265.81,0.10727,1208.51
2022-08-08,3.7083,3.2534,144.49,60.59,10926.02,0.10111,1104.78
2022-08-15,3.7511,3.2338,179.72,65.82,10905.18,0.10246,1117.36
2022-08-22,3.83,3.3209,169.01,67.42,11347.68,0.105,1191.54
2022-08-29,3.7538,3.301,173.19,67.23,11406.17,0.10242,1168.2
2022-09-05,3.7522,3.3302,167.54,66.6,11204.5,0.10483,1174.58
2022-09-12,3.7842,3.2526,184.47,58.92,10913.79,0.1058,1154.67
2022-09-19,3.6944,3.2197,165.2,54.08,11138.33,0.1029,1146.13
2022-09-26,3.6926,3.2382,166.62,66.06,11295.05,0.106,1197.27
2022-10-03,3.6693,3.2505,205.24,62.6,10964.51,0.10339,1133.65
2022-10-10,3.7694,3.3386,180.49,62.88,11386.11,0.10429,1187.43
2022-10-17,3.5549,3.3718,185.69,64.44,11161.77,0.1029,1148.54
2022-10-24,3.6581,3.364,178.09,59.37,11263.44,0.1015,1143.21
2022-10-31,3.4949,3.3649,201.93,54.85,11121.26,0.09915,1102.67
2022-11-07,3.6331,3.3913,201.55,56.87,11338.99,0.10309,1168.99
2022-11-14,3.5957,3.4073,197.4,52.81,11324.52,0.09971,1129.17
2022-11-21,3.5506,3.3479,201.09,63.3,10993.0,0.10284,1130.48
2022-11-28,3.6179,3.3788,200.47,45.45,11282.9,0.0998,1126.09
2022-12-05,3.5386,3.412,196.05,54.52,11548.32,0.10272,1186.23
2022-12-12,3.6012,3.3251,186.77,43.0,11212.51,0.09942,1114.76
2022-12-19,3.6599,3.3442,223.32,50.72,11789.07,0.09954,1173.45
2022-12-26,3.6513,3.4018,232.09,62.61,11341.28,0.10324,1170.92
2023-01-02,3.5912,3.3876,217.56,53.23,11795.55,0.09886,1166.06
2023-01-09,3.7582,3.2925,186.27,59.91,12181.64,0.10187,1241.0
2023-01-16,3.8327,3.2805,179.86,62.28,11903.78,0.10688,1272.33
2023-01-23,3.7545,3.3213,229.7,61.84,11747.41,0.10211,1199.58
2023-01-30,3.8747,3.2321,217.76,54.13,11863.49,0.10247,1215.66
2023-02-06,3.6229,3.2074,184.96,66.68,11721.4,0.10134,1187.86
2023-02-13,3.9223,3.37,198.28,66.12,11543.65,0.10428,1203.75
2023-02-20,3.8646,3.2396,173.16,69.93,11580.64,0.10648,1233.09
2023-02-27,3.718,3.2968,175.98,69.75,11839.71,0.10745,1272.19
2023-03-06,3.868,3.2957,196.34,71.22,11372.36,0.1056,1200.9
2023-03-13,3.7442,3.3336,197.11,74.44,11924.16,0.10529,1255.51
2023-03-20,3.7912,3.2813,168.97,84.58,11638.84,0.10791,1255.89
2023-03-27,3.6435,3.1905,217.6,78.71,11501.16,0.10299,1184.47
2023-04-03,3.6563,3.1951,161.8,77.27,11478.84,0.10454,1200.05
2023-04-10,3.6246,3.2563,179.87,83.96,11962.37,0.10537,1260.51
2023-04-17,3.6788,3.1423,167.0,87.37,11728.35,0.10796,1266.21
2023-04-24,3.6107,3.1674,165.08,82.82,11378.76,0.10377,1180.81
2023-05-01,3.6051,3.2419,181.64,77.31,11916.44,0.10423,1242.0
2023-05-08,3.6135,3.2239,128.99,80.46,11800.37,0.10804,1274.96
2023-05-15,3.6932,3.2059,182.2,92.4,11470.52,0.10425,1195.75
2023-05-22,3.518,3.3316,165.94,88.09,11525.96,0.10749,1238.95
2023-05-29,3.7064,3.2562,166.25,89.83,11701.12,0.10875,1272.48
2023-06-05,3.6332,3.184,156.59,78.68,11421.27,0.10604,1211.09
2023-06-12,3.6411,3.2737,145.11,87.19,11252.91,0.10757,1210.47
2023-06-19,3.6283,3.3517,159.38,79.01,11727.45,0.10733,1258.68
2023-06-26,3.6363,3.3497,154.32,85.46,11556.33,0.10615,1226.68
2023-07-03,3.5906,3.2536,153.61,78.77,11523.21,0.10523,1212.55
2023-07-10,3.6921,3.312,155.3,78.34,11608.05,0.10948,1270.9
2023-07-17,3.6994,3.4534,167.84,81.42,11453.56,0.10745,1230.67
2023-07-24,3.7695,3.3412,163.15,74.15,11375.93,0.10618,1207.85
2023-07-31,3.7382,3.3496,186.74,70.23,11199.17,0.10579,1184.75
2023-08-07,3.748,3.4089,179.24,73.71,11346.02,0.10722,1216.58
2023-08-14,3.8189,3.3802,162.99,72.3,11703.73,0.10758,1259.04
2023-08-21,3.7703,3.4578,149.6,62.79,11151.1,0.10713,1194.58
2023-08-28,3.8438,3.3552,172.19,56.16,10979.29,0.10465,1149.0
2023-09-04,3.7778,3.3539,177.48,59.12,10809.64,0.1045,1129.59
2023-09-11,3.7979,3.338,181.87,62.59,10990.75,0.10556,1160.13
2023-09-18,3.689,3.3712,154.71,57.95,11037.67,0.10526,1161.78
2023-09-25,3.6961,3.3545,164.83,60.87,10973.56,0.10515,1153.84
2023-10-02,3.7211,3.29,190.66,58.36,11043.28,0.10223,1129.0
2023-10-09,3.7986,3.3348,172.67,46.24,11144.21,0.10038,1118.67
2023-10-16,3.606,3.2984,179.87,58.35,11381.97,0.10221,1163.35
2023-10-23,3.5075,3.3388,188.38,49.27,11414.01,0.10117,1154.71
2023-10-30,3.5815,3.2832,181.54,54.3,11056.77,0.10057,1112.02
2023-11-06,3.5813,3.2936,209.22,40,11489.59,0.09658,1109.7
2023-11-13,3.6101,3.2575,197.3,48.07,11292.39,0.09986,1127.64
2023-11-20,3.5803,3.3263,197.09,63.39,11567.23,0.10266,1187.46
2023-11-27,3.582,3.2674,208.74,54.09,11196.19,0.10059,1126.24
2023-12-04,3.5374,3.3379,220.25,51.99,11310.39,0.09871,1116.44
2023-12-11,3.6426,3.2417,182.21,52.51,11491.52,0.10259,1178.91
2023-12-18,3.7249,3.1766,181.4,54.04,11816.28,0.10018,1183.74
2023-12-25,3.767,3.2626,187.82,56.77,11628.06,0.10389,1208.03
2024-01-01,3.7526,3.2434,169.98,55.82,11312.74,0.10366,1172.64
2024-01-08,3.6217,3.2102,197.91,56.69,11413.77,0.09827,1121.6
2024-01-15,3.7039,3.3175,205.79,49.81,11596.94,0.10501,1217.85
2024-01-22,3.8308,3.2745,197.38,61.07,11877.64,0.10664,1266.6
2024-01-29,3.7206,3.1746,192.35,62.16,12018.82,0.10167,1221.95
2024-02-05,3.7826,3.3378,185.79,66.64,11577.31,0.10647,1232.6
2024-02-12,3.8489,3.3117,173.09,65.93,11535.24,0.10301,1188.21
2024-02-19,3.7456,3.3107,169.95,68.63,11900.83,0.10678,1270.8
2024-02-26,3.761,3.2349,174.85,79.25,11724.34,0.10529,1234.4
2024-03-04,3.7572,3.3362,164.78,84.9,11557.94,0.11137,1287.19
2024-03-11,3.9043,3.3192,200.79,75.9,11975.37,0.10601,1269.55
2024-03-18,3.6816,3.326,159.18,79.17,12350.14,0.10631,1312.94
2024-03-25,3.7327,3.2692,169.77,79.29,12191.54,0.10476,1277.2
2024-04-01,3.7408,3.3396,159.98,87.14,12235.24,0.10948,1339.57
2024-04-08,3.6717,3.4475,178.39,70.97,11822.16,0.10578,1250.57
2024-04-15,3.5316,3.3834,167.34,76.86,11922.44,0.10417,1241.92
2024-04-22,3.6142,3.4502,196.52,79.31,11455.16,0.10785,1235.48
2024-04-29,3.5358,3.3689,152.74,83.38,11970.58,0.10577,1266.07
2024-05-06,3.5388,3.3868,152.03,81.22,11332.12,0.10281,1165.06
2024-05-13,3.4961,3.3361,155.75,86.42,11416.25,0.10505,1199.3
2024-05-20,3.6125,3.3589,148.05,89.74,11852.5,0.10554,1250.91
2024-05-27,3.6492,3.4774,153.7,91.66,11216.74,0.11065,1241.14
2024-06-03,3.5927,3.3715,170.56,86.04,11228.51,0.10613,1191.63
2024-06-10,3.7245,3.3523,157.07,90.51,11290.25,0.10973,1238.87
2024-06-17,3.7073,3.3418,154.2,82.57,11402.78,0.1068,1217.81
2024-06-24,3.5543,3.4322,172.46,80.39,11950.52,0.10748,1284.45
2024-07-01,3.6486,3.4069,188.17,87.96,11596.63,0.11113,1288.7
2024-07-08,3.8625,3.4398,151.5,95.99,11271.77,0.11177,1259.9
2024-07-15,3.7942,3.3327,135.74,71.87,11503.95,0.10698,1230.72
2024-07-22,3.7594,3.3623,162.66,81.28,10733.11,0.10879,1167.62
2024-07-29,3.8561,3.2099,164.36,74.36,11615.14,0.10626,1234.19
2024-08-05,3.7468,3.3352,148.24,74.63,11097.52,0.10705,1188.03
2024-08-12,3.8107,3.2338,163.18,68.79,11085.58,0.10578,1172.58
2024-08-19,3.7531,3.2733,186.11,71.15,10866.41,0.10632,1155.27
2024-08-26,3.807,3.3715,187.36,72.04,11231.23,0.10724,1204.39
2024-09-02,3.7342,3.308,165.14,59.6,11013.95,0.10325,1137.2
2024-09-09,3.8652,3.1854,172.25,64.53,11079.85,0.10442,1156.91
2024-09-16,3.7963,3.2394,182.91,61.69,10986.31,0.10224,1123.22
2024-09-23,3.7275,3.2618,159.89,56.28,11101.9,0.10503,1166.07
2024-09-30,3.7962,3.1486,173.42,53.7,11221.47,0.09834,1103.55
2024-10-07,3.6033,3.2458,176.56,53.61,11465.65,0.09799,1123.56
2024-10-14,3.6594,3.202,187.52,51.52,11570.68,0.10002,1157.24
