week_start,promo_intensity,competitor_price_index,holiday_flag,avg_temp_c,demand_kg
2022-01-03,0,1.0079,0,12.19,801.2
2022-01-10,0,1.0277,0,13.57,833.46
2022-01-17,0,1.0103,0,12.74,798.69
2022-01-24,0,1.0318,0,16.5,810.75
2022-01-31,1,1.0273,0,15.76,815.91
2022-02-07,0,1.0267,0,18.61,788.67
2022-02-14,0,1.0138,0,23.73,786.03
2022-02-21,0,0.988,0,21.87,808.35
2022-02-28,0,0.9897,0,23.21,821.98
2022-03-07,0,0.9737,0,22.9,772.31
2022-03-14,0,0.9628,0,20.99,835.48
2022-03-21,0,0.9748,0,20.66,850.04
2022-03-28,0,1.0018,0,24.52,783.87
2022-04-04,1,0.9745,0,20.88,904.7
2022-04-11,0,1.0501,0,23.71,855.48
2022-04-18,0,1.024,0,20.2,831.92
2022-04-25,1,1.0196,0,20.46,901.94
2022-05-02,0,1.0415,0,19.12,842.59
2022-05-09,1,0.9851,0,21.63,895.49
2022-05-16,0,0.994,0,19.38,814.6
2022-05-23,0,0.9969,0,20.67,809.07
2022-05-30,0,0.9965,0,17.49,817.34
2022-06-06,0,0.9857,0,14.18,824.11
2022-06-13,0,0.9675,0,17.97,812.94
2022-06-20,0,0.9798,0,12.87,796.6
2022-06-27,0,1.0027,0,13.89,802.96
2022-07-04,0,0.9932,0,11.47,808.35
2022-07-11,0,1.0215,0,10.56,784.54
2022-07-18,0,1.0244,0,9.59,799.0
2022-07-25,0,1.0335,0,7.54,787.91
2022-08-01,0,1.0235,0,6.63,793.56
2022-08-08,1,1.0167,0,6.33,925.53
2022-08-15,0,0.9868,0,4.42,799.49
2022-08-22,0,1.0006,0,3.72,796.23
2022-08-29,0,0.9735,0,0.98,805.1
2022-09-05,0,0.9677,0,2.81,798.86
2022-09-12,1,0.9668,0,2.02,857.74
2022-09-19,0,0.9763,0,3.68,792.33
2022-09-26,0,0.9892,0,4.35,792.93
2022-10-03,0,0.9774,0,1.87,785.45
2022-10-10,0,1.0058,0,3.37,765.59
2022-10-17,0,1.023,0,0.62,795.75
2022-10-24,0,1.049,0,3.17,808.95
2022-10-31,0,1.0167,0,2.36,766.23
2022-11-07,0,1.0123,1,5.81,851.26
2022-11-14,0,0.9801,1,4.37,871.91
2022-11-21,0,0.9725,1,5.54,832.17
2022-11-28,1,0.9777,1,5.14,926.65
2022-12-05,0,0.9672,1,9.32,825.35
2022-12-12,0,0.9743,1,8.73,910.98
2022-12-19,0,0.991,1,8.08,889.95
2022-12-26,1,0.986,1,12.34,947.83
2023-01-02,1,1.0004,0,10.31,859.78
2023-01-09,0,1.007,0,12.35,892.67
2023-01-16,0,1.0192,0,14.89,796.97
2023-01-23,0,1.0275,0,16.58,858.91
2023-01-30,0,1.0423,0,13.03,844.03
2023-02-06,0,1.0151,0,17.42,859.5
2023-02-13,0,1.003,0,16.78,846.63
2023-02-20,0,0.9929,0,16.93,814.48
2023-02-27,0,0.975,0,18.2,877.44
2023-03-06,0,0.9554,0,20.82,811.29
2023-03-13,1,0.9575,0,20.97,917.96
2023-03-20,0,0.9767,0,23.55,816.13
2023-03-27,0,0.9871,0,23.87,763.51
2023-04-03,0,0.9927,0,21.39,897.21
2023-04-10,0,1.01,0,23.43,805.01
2023-04-17,0,1.0149,0,22.49,818.25
2023-04-24,0,1.033,0,20.0,853.47
2023-05-01,0,1.0303,0,17.77,832.23
2023-05-08,1,1.024,0,19.7,879.19
2023-05-15,1,1.0206,0,18.37,941.53
2023-05-22,0,0.9787,0,19.25,819.06
2023-05-29,0,0.9998,0,19.61,887.83
2023-06-05,0,0.9692,0,17.48,883.05
2023-06-12,0,0.9749,0,13.9,839.56
2023-06-19,1,0.9731,0,16.49,880.19
2023-06-26,0,0.9702,0,12.17,845.09
2023-07-03,0,1.0038,0,12.37,832.25
2023-07-10,0,1.0022,0,9.67,822.08
2023-07-17,0,1.0429,0,9.17,805.82
2023-07-24,0,1.0306,0,7.78,843.67
2023-07-31,1,1.0336,0,7.64,870.27
2023-08-07,0,1.0346,0,6.09,823.68
2023-08-14,1,0.9958,0,6.97,841.15
2023-08-21,0,0.9858,0,4.75,829.54
2023-08-28,0,0.9767,0,5.04,813.78
2023-09-04,0,0.9776,0,1.12,800.58
2023-09-11,0,0.9795,0,1.06,833.88
2023-09-18,0,0.9718,0,3.56,790.48
2023-09-25,1,0.9904,0,2.34,914.91
2023-10-02,0,1.0058,0,0.93,860.38
2023-10-09,0,1.0091,0,1.66,784.59
2023-10-16,0,1.0082,0,1.57,797.78
2023-10-23,1,1.0324,0,2.08,908.14
2023-10-30,1,1.01,0,1.72,914.49
2023-11-06,0,1.0035,1,6.46,911.85
2023-11-13,0,0.9914,1,6.83,915.53
2023-11-20,0,0.9961,1,5.45,869.67
2023-11-27,0,0.9984,1,7.83,922.96
2023-12-04,0,0.9819,1,7.82,901.83
2023-12-11,0,0.9653,1,8.13,886.75
2023-12-18,0,0.9928,1,9.88,873.95
2023-12-25,0,0.9751,1,8.94,868.37
2024-01-01,0,0.9997,0,14.51,854.78
2024-01-08,0,1.0316,0,9.8,863.43
2024-01-15,0,1.0163,0,13.44,849.4
2024-01-22,0,1.0226,0,13.96,800.85
2024-01-29,0,1.0372,0,16.19,867.05
2024-02-05,0,1.0169,0,12.94,906.06
2024-02-12,0,1.0033,0,19.89,895.55
2024-02-19,0,0.998,0,21.37,869.75
2024-02-26,0,1.0041,0,22.03,847.08
2024-03-04,1,0.9702,0,21.37,952.98
2024-03-11,0,0.9587,0,20.98,904.74
2024-03-18,0,0.9793,0,20.22,837.81
2024-03-25,1,0.9961,0,22.52,924.96
2024-04-01,0,0.9967,0,21.88,897.08
2024-04-08,0,1.0019,0,21.95,852.36
2024-04-15,0,1.0149,0,18.88,871.02
2024-04-22,0,1.0305,0,20.14,922.66
2024-04-29,1,1.0274,0,21.73,964.5
2024-05-06,0,1.0257,0,18.6,874.2
2024-05-13,0,1.0091,0,20.02,826.54
2024-05-20,0,0.9943,0,18.82,866.82
2024-05-27,0,0.9887,0,16.4,871.02
2024-06-03,0,0.9653,0,16.27,893.74
2024-06-10,0,0.9806,0,18.3,856.48
2024-06-17,0,0.9894,0,13.45,895.1
2024-06-24,1,0.9962,0,9.93,923.72
2024-07-01,0,0.9844,0,11.47,922.63
2024-07-08,0,1.0086,0,12.73,861.71
2024-07-15,1,1.0305,0,11.02,929.33
2024-07-22,0,1.0294,0,8.78,875.1
2024-07-29,0,1.0327,0,7.64,849.8
2024-08-05,1,1.0251,0,6.29,890.62
2024-08-12,0,1.006,0,4.79,848.81
2024-08-19,0,0.9906,0,5.11,825.04
2024-08-26,1,0.9781,0,4.22,988.05
2024-09-02,0,0.987,0,5.38,804.06
2024-09-09,0,0.9724,0,2.66,839.98
2024-09-16,0,0.9872,0,2.6,794.61
2024-09-23,0,0.9883,0,1.69,831.02
2024-09-30,0,0.994,0,5.39,872.01
2024-10-07,0,1.0197,0,3.25,854.11
2024-10-14,0,1.0303,0,0.24,811.33
2024-10-21,0,1.0191,0,2.03,876.48
2024-10-28,0,1.0239,0,0.69,849.43
2024-11-04,0,1.0128,1,4.9,894.99
2024-11-11,0,0.997,1,4.05,898.14
2024-11-18,0,0.9906,1,4.96,972.64
2024-11-25,0,0.9798,1,5.28,889.21
2024-12-02,0,0.9795,1,4.27,939.56
2024-12-09,0,0.9581,1,7.28,877.32
2024-12-16,0,0.9781,1,7.71,940.04
2024-12-23,0,0.9764,1,14.17,936.41
2024-12-30,0,1.0071,1,11.18,937.06
2025-01-06,0,0.9892,0,13.26,874.72
2025-01-13,0,1.0237,0,13.79,912.2
2025-01-20,0,1.0345,0,14.1,882.5
2025-01-27,0,1.041,0,16.38,905.66
2025-02-03,0,1.0274,0,16.86,885.15
2025-02-10,0,1.0129,0,19.63,910.76
2025-02-17,0,1.0058,0,20.94,917.44
2025-02-24,0,0.983,0,18.75,861.43
2025-03-03,0,0.971,0,18.3,891.19
2025-03-10,0,0.9658,0,19.99,904.41
2025-03-17,0,0.9862,0,20.33,905.27
2025-03-24,0,0.9754,0,22.17,894.18
